Post Text,Post Timestamp,Post Link,Reply Text,Reply Timestamp
"“Americans shouldn’t expect to see TikTok suddenly banned on Sunday,” an administration official said, adding that officials are “exploring options” for how to implement the law so TikTok does not go dark Sunday. 

www.nbcnews.com/politics/joe...",2025-01-16T16:03:25.059Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,"Who in the media now is going to document all the coming Trump atrocities?
Is that you NBC?
We only have a few more days of normality left.",2025-01-16T16:32:48.538Z
"“Americans shouldn’t expect to see TikTok suddenly banned on Sunday,” an administration official said, adding that officials are “exploring options” for how to implement the law so TikTok does not go dark Sunday. 

www.nbcnews.com/politics/joe...",2025-01-16T16:03:25.059Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,"Either it's a threat, or it's not.make up your mind.",2025-01-16T16:48:21.320Z
"“Americans shouldn’t expect to see TikTok suddenly banned on Sunday,” an administration official said, adding that officials are “exploring options” for how to implement the law so TikTok does not go dark Sunday. 

www.nbcnews.com/politics/joe...",2025-01-16T16:03:25.059Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,"FELON 47 
Couldn’t get a wall built but is willing to save a Chinese platform",2025-01-16T16:38:13.889Z
"JUST IN: Gov. Ron DeSantis appoints state AG Ashley Moody to the U.S. Senate, setting her up to fill the seat of Sen. Marco Rubio.",2025-01-16T15:41:21.852Z,https://www.nbcnews.com/politics/congress/ron-desantis-picks-florida-attorney-general-ashley-moody-fill-rubios-s-rcna187938,Trump just got a boner... Bigly... For more corruption... MAGA tools.,2025-01-16T16:17:35.196Z
"JUST IN: Gov. Ron DeSantis appoints state AG Ashley Moody to the U.S. Senate, setting her up to fill the seat of Sen. Marco Rubio.",2025-01-16T15:41:21.852Z,https://www.nbcnews.com/politics/congress/ron-desantis-picks-florida-attorney-general-ashley-moody-fill-rubios-s-rcna187938,do these bitches understand that they only have power that MAGA men give them???and it can be taken away..,2025-01-16T16:16:56.749Z
"JUST IN: Gov. Ron DeSantis appoints state AG Ashley Moody to the U.S. Senate, setting her up to fill the seat of Sen. Marco Rubio.",2025-01-16T15:41:21.852Z,https://www.nbcnews.com/politics/congress/ron-desantis-picks-florida-attorney-general-ashley-moody-fill-rubios-s-rcna187938,nobody with a haircut like that and 50 yds of forehead is a good person. oh and she works for Meatabll Ron on top of that. Florida sucks.,2025-01-16T15:56:38.199Z
"JUST IN: Gov. Ron DeSantis appoints state AG Ashley Moody to the U.S. Senate, setting her up to fill the seat of Sen. Marco Rubio.",2025-01-16T15:41:21.852Z,https://www.nbcnews.com/politics/congress/ron-desantis-picks-florida-attorney-general-ashley-moody-fill-rubios-s-rcna187938,Aren't we lucky? 🙄,2025-01-16T15:50:33.612Z
"JUST IN: Gov. Ron DeSantis appoints state AG Ashley Moody to the U.S. Senate, setting her up to fill the seat of Sen. Marco Rubio.",2025-01-16T15:41:21.852Z,https://www.nbcnews.com/politics/congress/ron-desantis-picks-florida-attorney-general-ashley-moody-fill-rubios-s-rcna187938,Oh so not the first Mrs Eric Trump then,2025-01-16T15:47:42.196Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,"The ban was never about China, data, or national security.  It was always about Americans getting unfiltered non propaganda news and making their own opinions about things.",2025-01-16T10:53:46.030Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,that's good☺,2025-01-16T05:28:26.216Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,can they do not that?,2025-01-16T03:54:54.949Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,lol the dog caught the car,2025-01-16T04:10:49.190Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,If only Joe could find out who signed this silly ban into law in the first place…,2025-01-16T13:12:21.947Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,"**“We are not considering deferring enforcement,” the official said. “Statutorily, we don’t believe we have the authority to do that.” 

Biden and Trump’s positions are reversals from their one-time support for banning the app.**

So, call on Congress to repeal the ban, STAT. And sign it.",2025-01-16T04:22:07.598Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,Lol. Somebody up there heard me.,2025-01-16T04:28:36.793Z
"The Biden administration is considering ways to keep TikTok available in the U.S. if a ban that’s scheduled to go into effect on Sunday proceeds, according to three people familiar with the discussions.",2025-01-16T03:54:22.948Z,https://www.nbcnews.com/politics/joe-biden/biden-administration-keep-tiktok-available-us-rcna187902,"Make it make sense. 

Biden signed the bill. This wasn't something forced on him as part of a larger bill. He supported it. His DOJ defended it in court.

Democrats are confusing.",2025-01-16T04:27:30.717Z
